,Sentiment,Message
371263,0,@Joeof Jonas ur mean  I disown u.. Haha jk! Yeah u can. I can pick on u to.. U... U... Crossdresser!
437834,0,@djeejay http://twitpic.com/6t92t - josh!!! baby that must hurt so bad.  
201027,0,@azraeel It is pretty cool - shame you don't have a PS3 
876307,4,my myspace is so pretty   but facebook and twitter are better
1515910,4,Life On Mars  great....
550529,0,@Ali_I_Am_Beatz this new life of urs got u treating me like shit 
1286619,4,is doing some work before I go teaching!!! Man its a great day! 
949327,4,@makefate Nighty - night  You can always eat ice cream with us tomorrow!
1032875,4,@meriel awww ull get it soon enough 
135593,0,I dont think the Jb movie is coming to my cinema 
972282,4,@denawilliams Hope you had a wonderful birthday Dena! Happy birthday to you!! 
838116,4,Miss my Boteros - last night was the most fun that I've had in a long time  Back feels a lot better also.
166549,0,@violetph  Gods sake it isn't even your birthday yet  i need a cool job like that.
159791,0,"OMG cant beleive that i cannot use this thing   Guys, how do i c your pictures ?"
900616,4,@amber_benson Loved it! You continue to delight us Amber.    Great job on the backing and the video by @adambusch. Kudos.
643851,0,*whew* imissyou BIOBLOCK! 
1298638,4,"Just ate the first ripe strawberry from my garden! A bit tart, but so yummy. "
1001480,4,Heading to beach Sunday and Monday why the heck not 
974722,4,"@jeriellsworth just read an artical about you here in the uk , in a national news paper www.metro.co.uk/etch , your world famous nice!! "
462525,0,Watch the insomnia pop off tonight too ....  !
963061,4,"writing a new story, "
1059652,4,"@syzygy I got past today on test by an F430, ooh that sounds so deep and sonorous. Really rorty when it was opened up. I am a petrolhead "
1539091,4,@yehudaberg very true... sometimes very hard to do... but there's no other way to live! 
1371704,4,LINK FOR PREVIEW TO ALL OF JBS SONGS STUIDO VERSON! NICK + MILEY DUET=LOVE perfect lyrics for them&lt;3 ha makin some people mad 
1028488,4,@nobodylkl your not alone....trying to get to the next day (or year) too! my head hurts!......you'll wake up feeling better...you'll see 
60199,0,i don't remember my eyes ever being this puffy. I guess days of crying does that to you 
877953,4,nothings impossible. 
210500,0,cannot sleep 
793259,0,ugh i'm up...someone shoot me! Goin to Sanford...god i hate mornings 
659467,0,&quot;I am extremely grateful to have had the opportunity to play this character and will miss my fellow cast and crew very much.&quot;...GEORGE! 
