,Sentiment,Message
0,0, joeof jonas ur mean disown u haha jk yeah u pick u u u crossdresser
1,0, djeejay josh baby must hurt bad
2,0, azraeel pretty cool shame ps
3,4, myspace pretty facebook twitter better
4,4, life mars great
5,0, ali_i_am_beatz new life urs got u treating like shit
6,4, work go teaching man great day
7,4, makefate nighty night always eat ice cream us tomorrow
8,4, meriel awww ull get soon enough
9,0, dont think jb movie coming cinema
10,4, denawilliams hope wonderful birthday dena happy birthday
11,4, miss boteros last night fun long time back feels lot better also
12,0, violetph gods sake even birthday yet need cool job like
13,0, omg cant beleive use thing guys c pictures
14,4, amber_benson loved continue delight us amber great job backing video adambusch kudos
15,0, whew imissyou bioblock
16,4, ate first ripe strawberry garden bit tart yummy
17,4, heading beach sunday monday heck
18,4, jeriellsworth read artical uk national news paper www metro co uk etch world famous nice
19,0, watch insomnia pop tonight
20,4, writing new story
21,4, syzygy got past today test f ooh sounds deep sonorous really rorty opened petrolhead
22,4, yehudaberg true sometimes hard way live
23,4, link preview jbs songs stuido verson nick miley duet love perfect lyrics lt ha makin people mad
24,4, nobodylkl alone trying get next day year head hurts wake feeling better see
25,0, remember eyes ever puffy guess days crying
26,4, nothings impossible
27,0, sleep
28,0, ugh someone shoot goin sanford god hate mornings
29,0, quot extremely grateful opportunity play character miss fellow cast crew much quot george
30,0, want crawl bed instead work sneaking suspicion float fingers crossed
31,0, finally got decent uncharted beta great time playing fleshribbon last night enjoyed grenade face
32,0, static much maybe better karaoke tomorrow headed dna lounge wishing meatsf com night sfo fb
33,4, jencorbett well case kind want really big penis really sound right
34,0, exams ever end lt right sounds like rhetorical question
35,0, week woken middle night drenched sweat
36,0, tcharie make follow meeeeee
37,0, weesweetmarie sorry hear bad news hope rest sunday better
38,0, sisters hamster squeakiest wheel stupid hamster
39,4, ate much food tonight muahahah
40,0, sunny beautiful degrees sad leave
41,4, quote day quot voice like mix fergie jesus quot thought would fun quote today quess movie
42,4, enjoyed watching mtv movie awards today good laughs
43,4, bawnyebawn hmm indoors concept interests p shall little money im guessing ish
44,4, maikeru thanks
45,4, something familiar strangely comfortable unrequited love worry anymore
46,4, ebassman lucky lol happy snoozing xx
47,4, boyfriend likes new divide much played times night
48,4, riickyy
49,0, ok back nap hard though force sleep need take advantage kiddies r getting shuteye
50,0, sophiebourne tisn particularly scary thoughtful make bo peep tomorrow going bday party lauren
51,0, bad bad morning fucking lord
52,0, isplayer died sorry
53,0, crying crying crying officially left high school
54,0, moriesbel missed mmm moriesbel
55,0, math still hurts yes still paper
56,4, jonathanrknight night
57,4, well done
58,4, bainmercergirl thanks juz added facebook site potential keep rocking friend
59,0, contract free tethering iphone haz much green stuff sandwich also haz
60,0, long time since talk wid really miss
61,4, juliekapanke gon na living la come nd june got ta hang stoked
62,0, thoughts still revert back yet still help remember right felt arms
63,4, yum yum day old pizza mayo mid morning snack dirty good
64,4, ha got twitters morning life like coaster enjoy b ends
65,4, hair long like mid back love almost long mileys
66,0, today going chill haha mussel ack food yesterday succes delicious meatballs mjammm
67,0, ireallydohate nooooo dont get rash nobodies trying sell something
68,0, dinner grandma revised going chel abi bit want maths test tomorrow
69,4, miss letting know calhouns vancouver mom meet moved ymcoffee
70,0, officialashleyg person ever treated way quot fans quot treated rob
71,4, went grocery shopping aka soda shopping dinner show city family
72,0, link polaroid summer annienguyen beautiful need bring back polaroid
73,0, dojie ahh bet nto pc tho
74,0, hate sick days r never ever fun
75,0, finishing english media work eugh never get homework writing arcticles stuff
76,0, pogo stick fail gif tried backflip
77,0, fhaps yet looks great p
78,4, jennainfantas wrote yur dad amp mom amp taylor morning amp didnt want u feel left hows yur cafe morning great day
79,4, spacebetween ha dear
80,0, gon na go home today im ready go back stupid del rio
81,4, washed car
82,4, quot u bigger clothes u shop baby gap quot hahaha movie awesome many quotes
83,0, nikkisaa deliver crib
84,0, mousebudden dammit kno u still broadcasting saying ur middle watchin tahiry go clip lol
85,0, wicked mentioned morning heard way upstairs alexia khadime coming back may kerry leaving
86,4, watching friend ths ironing
87,0, toddyd sorry suck balls makes sad
88,0, influenza hn invaded world
89,4, geminiriver got lot done anticipate reaching goal tomorrow
90,4, ok agenda today watch trash tv watch finale ugly betty hills go tescos purchase hangover goods mmmmmmm
91,4, follow gt gt gt vagelisv helpful funny Ã£ Ã¢ Ã¢Âº
92,0, cityslipper morning distractions hoping kind productivity day getting molar pulled night ouch
93,4, macteabird lmao sounds good
94,0, jurassic park theme stuck head
95,4, nickydiamonds nice want one
96,0, bout go gym couple hours lol im still sore day
97,4, grad party awsome
98,4, done cleaning house amp laundry nd time days got sparkle gon na take break couple days
99,4, ran km marathon daccount world envrmnt day time come tke serious interest amp tke actn preserve amp protect envrmnt
100,0, angeliquebates u followin
101,0, hey jonasbrothers type question jonasliveonfb go barcelona spain please explain
102,0, eating salsa cream cheese reminds nicole miss also watching chelsea lately love lt
103,4, kayteaaa ooooo send peecture please
104,0, followfriday bersheba hi sorry watching bad news
105,0, tylerhudg cant come tonight ride
106,0, wmat woo stack vinyl needs listening room turntable
107,4, heck yess got ta twitter dinner tonight dadddddy
108,4, lazy saturday cup cubano bliss
109,0, carcarxd shiiiit sorry asleep since half think make mam gone cinema maria
110,0, confess never gon na thin keep consuming crap said
111,0, jessicacabral haha even though go
112,0, euan google ruined feedburner imo used great lite feed tool good v little g analytics overkill
113,0, took awesome pictures today documentation summer erased somehow good computers
114,4, think ex boyfriend probably stop posting passive aggressive tweets sayin
